Client Name,Client Code,Entry Date,Entered by ,Industry,Sub Industry,What do they do,Territory,Pursued Opportunity Value,Incorporation Type,Listed Company,Market Cap,Annual Revenue (QAR),Classification,Employee Strength,IT Employee Strength,Primary Relationship Holder,Secondary Relationship Holder (Pref Economic),Relationship Status,Details are upto date,Related Contacts,Lifetime Value,Priority,Action
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-245774.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-246876.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-247978.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-249080,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-250181.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-251283.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-252385.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-253487.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-254589.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-255690.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-256792.7273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-257894.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-258996.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-260098.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-261200,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-262301.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-263403.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-264505.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-265607.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-266709.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-267810.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-268912.7273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-270014.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-271116.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-272218.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-273320,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-274421.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-275523.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-276625.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-277727.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-278829.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-279930.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-281032.7273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-282134.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-283236.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-284338.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-285440,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-286541.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-287643.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-288745.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-289847.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-290949.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-292050.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-293152.7273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-294254.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-295356.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-296458.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-297560,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-298661.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-299763.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-300865.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-301967.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-303069.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-304170.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-305272.7273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-306374.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-307476.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-308578.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-309680,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-310781.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-311883.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-312985.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-314087.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-315189.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-316290.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
FutureLink,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-317392.7273,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
AetherMinds,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-318494.5455,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Gamingx,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-319596.3636,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
Flipkar,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-320698.1818,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Low,Same as template
Ajio,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",Telecom,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-321800,Ashwin Gorle,Ashwin Gorle,Well entrenched,Tick,Same as template,0,Very High,Same as template
gamix,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-322901.8182,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
futura,AIRIND,"Aug 1, 2024",Ashwin Gorle,"TMET : Telcom, Media, Entertainment and Technology",NBFS,Top Telecom Provider India,Mumbai MMR,,Independent,Listed,Rs 200k Cr + (Large),300 Cr,Copper (100-500M $),106727.2727,-324003.6364,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
tech giant,RELGEO,"Aug 1, 2024",Ashwin Gorle,CGR : Consumer Goods and Retail,NBFS,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Employee Owned,Unlisted,100-500M $,400 Cr,Platinum (10B $+),106727.2727,-325105.4545,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
exo,AIRIND,"Aug 1, 2024",Ashwin Gorle,"LT&T : Logistics, Travel and Transport",Startups,Top Telecom Provider India,Mumbai MMR,,Ministry,Listed,Rs 200k Cr + (Large),300 Cr,Platinum (10B $+),106727.2727,-326207.2727,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Very High,Same as template
spaceX,RELGEO,"Aug 1, 2024",Ashwin Gorle,EUR : :  Energy Utility and Resources,Others,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Subsidiary,Unlisted,Rs 200k Cr + (Large),400 Cr,Nickel (Low Revenue),106727.2727,-327309.0909,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
Reliance Geo,RELGEO,"Aug 1, 2024",Ashwin Gorle,PSG : Public Sector and Government,Telecom,Top Telecom Provider India - Subsidiary of Reliance,Mumbai MMR,,Semi Government,Unlisted,Rs 200k Cr + (Large),400 Cr,Platinum (10B $+),106727.2727,-328410.9091,Priyanshu jaj,Priyanshu jaj,Well entrenched,Tick,Same as template,0,Low,Same as template
